sex,age,studytime,failures,freetime,absences,goout,first,second,third
F,15,1,0,3,0,3,8,0,0
F,17,1,0,4,12,4,10,13,12
F,16,1,0,2,16,1,12,11,11
M,15,2,0,3,0,3,9,0,0
F,15,3,0,3,0,3,11,0,0
M,17,2,0,4,0,5,10,0,0
F,16,1,2,3,0,2,4,0,0
M,16,2,1,4,0,4,14,12,12
F,15,1,0,3,0,2,16,16,15
M,15,4,0,2,0,2,7,9,0
M,16,1,2,3,8,3,9,9,9
F,15,3,0,2,2,2,9,11,11
F,16,1,0,4,2,4,14,14,13
M,17,1,3,4,0,5,5,0,0
F,15,2,0,4,0,2,8,11,11
F,15,2,3,3,0,2,6,7,0
F,15,2,0,3,2,2,10,11,11
M,16,1,0,3,0,2,7,6,0
M,15,1,3,5,0,5,8,9,10
M,18,1,3,3,0,5,6,5,0
M,16,1,1,4,6,4,12,13,14
F,15,3,2,2,8,1,10,10,10
M,19,1,3,5,0,4,5,0,0
F,17,1,0,2,0,1,11,11,12
M,15,2,0,4,2,4,11,8,8
M,17,1,0,2,8,2,16,12,13
F,18,1,3,2,6,5,9,8,10
M,16,1,0,2,2,2,17,15,15
M,16,2,1,5,4,5,10,12,12
M,17,1,2,3,0,2,7,6,0
M,15,2,2,4,6,4,5,9,7
M,16,1,1,4,0,4,7,0,0
M,17,1,0,3,2,3,10,10,10
M,17,2,3,3,0,5,5,8,7
M,16,1,1,5,16,2,12,11,12
M,16,2,0,3,4,5,10,10,10
F,16,2,0,2,0,3,14,15,16
F,16,2,0,1,0,5,6,7,0
F,16,2,0,4,0,2,14,14,14
M,16,1,2,4,0,5,6,5,0
M,16,2,0,3,2,2,13,15,16
M,17,2,0,4,0,4,13,11,10
F,16,2,3,3,0,5,8,7,0
F,16,2,0,4,4,5,10,11,9
M,17,2,0,4,4,4,10,9,9
F,16,2,0,4,2,4,13,13,11
M,17,2,0,3,4,4,6,5,6
M,16,1,0,3,10,3,10,8,9
M,17,2,0,2,4,3,10,10,11
M,16,2,0,4,10,3,9,8,8
M,16,2,0,2,2,3,12,13,12
F,17,2,0,4,0,2,16,17,17
F,17,2,0,3,56,3,9,9,8
F,16,2,0,2,14,2,12,13,12
M,17,2,0,3,12,4,12,12,11
M,16,1,0,3,2,3,11,12,11
M,16,2,0,2,0,3,15,15,15
F,17,2,0,3,6,3,8,7,9
M,17,2,0,1,4,3,8,9,10
F,16,2,0,3,10,3,11,12,13
F,17,2,0,3,0,3,8,8,9
M,17,2,0,4,12,4,7,8,8
M,16,1,0,3,8,2,8,9,10
M,16,1,0,3,0,3,13,14,14
F,17,2,0,3,0,2,14,15,15
M,17,1,0,2,4,3,17,15,16
M,16,1,0,3,8,4,9,9,10
F,17,1,1,2,24,4,18,18,18
F,16,2,0,5,0,2,9,9,10
F,16,2,0,3,2,5,16,16,16
F,16,2,0,4,6,3,8,10,10
F,17,2,0,4,4,4,9,9,10
F,17,1,0,3,18,2,7,6,6
F,16,4,0,3,6,5,10,10,11
F,17,3,1,4,28,3,10,9,9
F,16,2,3,3,5,3,7,7,7
F,16,2,0,3,10,2,11,12,13
F,16,1,0,3,6,2,9,9,10
F,17,3,0,4,6,2,7,7,7
F,19,4,0,3,10,3,8,8,8
M,17,2,0,3,13,5,12,12,13
F,16,2,0,3,0,4,12,13,14
M,18,2,1,4,15,4,6,7,8
F,17,1,0,2,12,1,8,10,10
F,17,2,0,4,2,4,14,15,15
F,17,2,2,4,22,5,6,6,4
M,18,2,1,2,13,4,6,6,8
F,17,1,0,3,3,3,7,7,8
F,17,3,0,3,4,3,9,10,10
F,17,2,0,2,2,5,6,6,6
F,17,3,1,3,0,4,6,5,0
F,16,2,0,3,2,1,16,16,17
M,18,2,0,3,0,3,12,13,13
F,16,3,0,3,0,2,13,13,14
F,18,2,1,3,16,3,9,8,7
F,17,2,0,3,10,4,16,15,15
M,17,2,0,3,2,3,12,11,12
M,18,2,0,3,14,2,10,8,9
F,17,3,0,2,10,3,12,10,12
F,17,2,0,2,14,3,13,13,14
M,17,2,0,5,4,2,11,11,11
M,17,2,0,5,14,5,11,9,9
M,16,2,0,2,2,4,14,13,13
M,16,2,0,4,18,2,9,7,6
M,16,3,0,3,10,3,11,9,10
M,17,2,0,4,4,2,14,13,13
F,16,1,0,5,20,2,13,12,12
F,17,2,0,1,2,1,13,11,11
M,18,2,1,5,0,4,7,7,0
M,17,2,0,5,14,5,12,12,12
M,17,2,0,3,2,3,10,11,12
M,16,1,0,4,0,5,6,0,0
M,16,1,0,3,0,2,13,12,12
F,18,3,0,4,0,4,7,0,0
M,16,1,0,3,6,3,18,18,18
M,17,1,0,2,4,2,12,12,13
M,22,1,3,4,16,5,6,8,8
M,18,2,1,3,8,3,3,5,5
M,16,1,0,3,0,2,13,15,15
M,18,1,1,4,0,5,6,8,8
M,16,2,0,3,6,3,7,10,10
M,18,1,1,2,4,5,6,9,8
M,16,1,0,3,0,2,8,9,8
M,17,1,0,4,0,2,8,12,12
M,17,1,1,4,2,4,7,9,8
F,17,4,0,2,6,3,14,12,13
M,19,2,0,3,12,1,11,11,11
M,18,2,0,2,8,4,15,14,14
F,17,4,0,4,0,1,10,9,0
F,18,2,0,1,21,2,17,18,18
M,18,2,0,3,2,2,8,8,8
M,18,3,0,3,1,2,13,12,12
F,17,3,0,2,4,3,10,9,9
F,18,3,0,3,0,3,9,10,0
M,18,2,0,2,13,5,17,17,17
M,17,2,0,4,2,4,9,9,10
F,18,2,0,3,8,4,12,10,11
M,18,2,0,4,10,5,10,9,10
F,18,2,0,3,0,5,6,0,0
F,19,2,2,3,15,5,9,9,9
F,18,4,0,5,4,5,15,14,14
F,18,2,0,4,2,3,11,11,11
M,17,2,0,5,2,2,15,14,14
F,17,2,0,3,2,3,10,10,10
F,17,2,0,4,6,4,12,12,12
F,18,2,0,1,75,1,10,9,9
M,18,1,0,2,22,4,9,9,9
F,18,2,1,4,15,4,9,8,8
M,18,1,0,2,8,3,10,11,10
M,17,1,0,5,30,4,8,8,8
M,17,1,1,4,19,4,11,9,10
F,18,4,0,2,1,2,12,12,12
F,18,2,0,4,4,4,8,9,10
F,17,2,0,4,4,5,10,9,11
M,17,2,0,3,2,3,12,10,11
F,18,3,0,3,5,3,18,18,19
F,17,3,0,3,6,3,13,12,12
M,18,3,0,2,6,4,15,14,14
M,18,2,0,4,9,3,15,13,15
M,18,2,0,3,11,2,12,11,11
F,17,3,0,2,0,2,15,15,15
F,18,2,1,4,12,3,12,12,13
F,17,4,0,1,6,2,18,18,18
M,18,3,0,4,8,2,14,13,14
M,17,1,0,4,4,3,14,12,11
F,19,2,0,3,0,4,10,9,0
F,18,2,0,4,10,5,10,8,8
F,18,4,0,3,0,3,14,13,14
M,18,1,0,4,5,2,16,15,16
F,18,2,0,2,14,4,12,10,11
M,17,1,0,1,0,1,11,11,10
F,17,3,0,3,0,3,15,12,14
F,17,4,0,2,0,2,17,17,18
M,19,2,1,4,20,4,15,14,13
F,18,2,1,4,8,3,14,12,12
M,20,1,0,5,0,3,17,18,18
M,19,1,1,3,38,4,8,9,8
M,19,2,1,5,0,3,15,12,12
F,19,2,1,4,18,3,12,10,10
F,19,2,1,2,0,4,9,9,0
F,19,2,0,4,20,1,14,12,13
M,19,2,1,5,3,2,13,11,11
F,19,2,1,2,22,2,13,10,11
F,19,3,2,1,14,2,15,13,13
F,19,3,1,1,40,2,13,11,11
F,18,2,0,3,0,3,8,8,0
F,18,3,0,3,9,4,9,10,9
F,17,3,0,3,0,4,11,11,10
F,18,2,0,4,2,4,11,11,11
F,17,2,0,2,23,2,13,13,13
F,17,2,0,2,12,2,11,9,9
F,17,3,0,3,3,2,11,11,11
F,17,3,0,4,1,3,12,14,15
F,17,3,0,3,0,3,16,15,15
M,18,3,0,3,3,3,9,12,11
M,17,1,0,3,3,5,14,15,16
M,17,1,0,4,8,5,11,10,10
F,17,3,0,4,7,4,10,9,9
F,17,3,0,3,4,3,14,14,14
M,18,4,0,5,2,5,9,8,8
F,17,3,0,4,7,3,12,14,14
F,18,2,0,3,0,4,7,0,0
F,18,2,0,3,0,3,8,8,0
F,18,4,0,4,0,4,10,9,0
F,17,3,0,4,16,5,16,15,15
F,19,3,1,4,12,3,14,13,13
F,17,2,0,3,0,2,7,8,0
F,18,4,0,3,7,3,16,15,17
F,17,2,0,3,4,3,9,10,10
F,19,3,1,3,4,4,11,12,11
M,18,2,1,3,0,3,10,10,0
M,18,2,0,3,11,3,16,15,15
F,17,2,1,3,0,1,9,8,0
F,18,3,0,3,4,3,11,10,10
F,18,3,0,4,7,3,13,13,14
M,18,3,0,3,9,2,16,15,16
M,18,3,0,4,0,5,10,10,9
F,17,3,0,4,0,3,13,15,15
M,18,1,1,5,10,5,11,13,13
M,19,2,3,4,8,4,8,7,8
M,17,2,0,5,2,4,13,13,13
M,18,1,1,3,7,3,8,7,8
M,19,1,1,4,4,4,8,8,8
M,17,2,0,5,4,5,13,11,11
F,18,2,0,3,0,4,10,9,9
F,17,2,0,3,4,3,12,13,13
F,17,2,0,2,2,3,12,12,11
M,18,1,0,3,4,2,10,10,10
F,18,3,0,3,0,2,18,16,16
F,18,2,0,3,0,4,13,13,13
M,18,2,1,4,2,3,13,12,12
F,18,2,0,3,0,2,11,11,10
F,17,2,0,3,0,4,16,15,15
F,17,2,0,2,0,2,12,11,12
M,18,2,0,3,4,4,10,10,10
M,18,3,0,2,0,2,13,13,13
F,17,1,1,2,0,1,7,6,0
F,18,1,0,2,0,3,11,10,10
F,18,2,0,2,10,2,14,12,11
F,19,2,2,2,4,2,7,7,9
M,18,1,0,3,3,3,14,12,12
F,17,3,0,4,8,3,13,11,11
F,17,1,0,5,14,5,6,5,5
F,18,3,0,4,0,4,19,18,19
F,18,3,0,3,2,2,8,8,10
F,20,3,2,4,4,3,15,14,15
F,18,2,0,4,4,3,8,9,10
F,18,2,0,1,0,3,15,15,15
F,17,2,0,5,17,4,10,10,10
M,18,2,0,2,4,4,15,14,14
M,18,1,0,4,5,3,7,6,7
M,17,2,0,4,2,3,11,11,10
M,19,1,1,3,0,2,6,5,0
M,18,1,1,4,14,3,6,5,5
F,18,3,0,3,2,3,10,9,10
F,18,1,0,4,7,3,6,5,6
F,19,3,1,4,0,2,7,5,0
F,18,2,0,3,0,4,7,9,8
F,18,2,1,1,0,1,6,5,0
M,20,2,2,5,11,4,9,9,9
M,17,1,0,4,3,5,14,16,16
M,21,1,3,5,3,3,10,8,7
M,18,1,0,4,0,1,11,12,10
M,19,1,0,2,5,3,8,9,9
